Week,Treat,Drug,Class,Target,Common Side effects,Rare Side Effects,More info,,,,
7,Hypertension,Amlodipine,Calcium channel blocker - Dihydropyridines,vasoselective (target peripheral blood vessels,"headaches, flushing, dizziness, swollen ankles.","GI issues, nausea, abdominal pain, palpitations",,,,,
7,Hypertension,Nifedipine,Calcium channel blocker - Dihydropyridines,vasoselective (target peripheral blood vessels,"headaches, flushing, dizziness, swollen ankles.","GI issues, nausea, abdominal pain, palpitations",,,,,
7,Hypertension,Nicardipine,Calcium channel blocker - Dihydropyridines,vasoselective (target peripheral blood vessels,"headaches, flushing, dizziness, swollen ankles.","GI issues, nausea, abdominal pain, palpitations",,,,,
7,Hypertension,Verpamil,Calcium channel blocker,cardioselective (target the heart) ,"headaches, flushing, dizziness, swollen ankles. Bradycardia, worsen heart block, constipation, vasodilation, hypertension","GI issues, nausea, abdominal pain, palpitations, WPW danger",aka class 4,,,,
7,Hypertension,Diltiazem,Calcium channel blocker,,"headaches, flushing, dizziness, swollen ankles.","GI issues, nausea, abdominal pain, palpitations",,,,,
7,Hypertension,Captopril,ACE inhibitors ,angiotensin converting enzyme,dry cough,angioedema,,,,,
7,Hypertension,Lisinopril,ACE inhibitors ,angiotensin converting enzyme,dry cough,angioedema,,,,,
7,Hypertension,Ramipril,ACE inhibitors ,angiotensin converting enzyme,"dry cough, postureal hypotension, dizzy, GI tract, headaches",angioedema,,,,,
7,Hypertension,Losartan,Angiotensin receptor blockers ,competitively antagonizing angiotensin 2 type 1 receptor (AT1R),"GI tract problems, headache, postural hypertension",,,,,,
7,Hypertension,Canesartan,Angiotensin receptor blockers ,competitively antagonizing angiotensin 2 type 1 receptor (AT1R),"GI tract problems, headache, postural hypertension",,,,,,
7,Hypertension,Bendroflumethiazide ,thiazide diuretics,target kidney for water and salt balance,"GI tract problems, headache, postural hypertension","Increase urine production, electrolyte imbalance, increase the risk of developing type 2 diabetes",,,,,
7,Hypertension,Chlortalidone,thiazide diuretics,target kidney for water and salt balance,"GI tract problems, headache, postural hypertension","Increase urine production, electrolyte imbalance, increase the risk of developing type 2 diabetes",,,,,
7,Hypertension,Propranolol,non-selective beta blocker,beta 1 + 2 adrenoceptor,,"CNS side effects, glycogen breakdown and risk of diabetes (b2)",,,,,
7,Hypertension,Atenolol,beta 1 blockers,"beta 1 adrenoceptor antagonist cardiac output (sympathetic nerves, renal sympathetic nerves)","heart failure, postural hypertension","Cofusion, Dizziness, seizures, loss of consciousness, coma and death (Beware with people with diabetes)",aka class 2,,,,
7,Hypertension,Bisoprolol,beta 1 blockers,"beta 1 adrenoceptor antagonist cardiac output (sympathetic nerves, renal sympathetic nerves)","heart failure, postural hypertension","Cofusion, Dizziness, seizures, loss of consciousness, coma and death (Beware with people with diabetes)",aka class 2,,,,
7,Hypertension,Prazosin,alpha adrenoceptor blockers,a1 adrenoceptors (Gq pathway),"postural hypotension, GI tract",,,,,,
7,Hypertension,Doxazosin,alpha adrenoceptor blockers,a1 adrenoceptors (Gq pathway),"postural hypotension, GI tract",,,,,,
8,Hypercholesterolaemia,atorvastatin,statins,block cholesterol synthesis in the liver by competitively inhibiting HMG-CoA reductase,"headaches, GI tract issues","myalgia, myositis, rhabdomyolsis, acute kidney failure( myoglobin breakdown), t2 diabetes ",,,,,
8,Hypercholesterolaemia,simvastatin,statins,block cholesterol synthesis in the liver by competitively inhibiting HMG-CoA reductase,"headaches, GI tract issues","myalgia, myositis, rhabdomyolsis, acute kidney failure( myoglobin breakdown), t2 diabetes ",,,,,
8,Hypercholesterolaemia,ezetimibe,cholesterol absorption inhibitors,block NPC1L1 chloesterol transporter,"sole therapy when cannot tolerate statins, milder side effects compare to statins",,,,,,
8,Hypercholesterolaemia,fenofibrate,fibrates,activate PPAR,used only when statins cant be tolerated/ in patients with low HDL and high triglycerides,rhabdomyolysis,,,,,
8,Hypercholesterolaemia,gemfibrozil,fibrates,activate PPAR,used only when statins cant be tolerated/ in patients with low HDL and high triglycerides,rhabdomyolysis,,,,,
8,Stable Angina,glyceryl trinitrate,organic nitrates ,target heart to improve blood flow to cardiac muscle and reduce workload,"headache (cerebral arteries dilation), hypotension, dizziness, blushing and reflec tachycardia","oral: first pass metabolism, 1% biolavailability, ",first choice treatment for acute angina attacks,,,,
8,Stable Angina,isosorbide mononitrate,organic nitrates ,to prevent agina attack when they can't tolerate Ca channel blockers and beta blockers,"headache (cerebral arteries dilation), hypotension, dizziness, blushing and reflec tachycardia",slower than glyceryl trinitrate in relieving acute angina attacks,,,,,
9,ACS and stroke,aspirin,antiplatelet,cyclooxygenase inhibitor,"haemostatic blood clots irritation, stomach and GI tract issues, ulcers and bleed in these areas",Reye's syndrome (liver and brain damage),DAPT = aspirin + ticagrelor/prasugrel/clopidogrel,,,,
9,ACS and stroke,clopidogrel,ADP receptor inhibitors,P2Y 12 receptor irreversible inhibitors,GI tract problems,"dizziness, headache",Cant metabolise (30% people have genetic differenced in CYP2C19),,,,
9,ACS and stroke,prasugrel,ADP receptor inhibitors,P2Y 12 receptor irreversible inhibitors,"anaemia, skin reactions",angioedema,,,,,
9,ACS and stroke,ticagrelor,ADP receptor inhibitors,P2Y 12 receptor reversible inhibitors,"GI tract problems, dizziness, headache, gout, skin reactions","confusion, angiodema",,,,,
9,thrombosis,heparin,anticoagulant (antithrombin),inhibit thrombin & factor Xa via antithrombin 3,"excess bleeding, injection reaction (bruising, pain, inflammation)",thrombocytopenia (platelet counts to drop),,,,,
9,thrombosis,fondaparinux,anticoagulant (antithrombin),inhibit Xa,"excess bleeding, injection reaction (bruising, pain, inflammation)",thrombocytopenia (platelet counts to drop),"low weight heparins, better safety porfile and improved plasma half-life",,,,
9,thrombosis,enoxaparin,anticoagulant (antithrombin),inhibit Xa,"excess bleeding, injection reaction (bruising, pain, inflammation)",thrombocytopenia (platelet counts to drop),"low weight heparins, better safety porfile and improved plasma half-life",,,,
9,thrombosis,warfarin,vitamin k antagonist,vitamin K epoxide reductase,"excess bleeding, delay action ","teratogenic (affect baby during early pregnancy), huge number of interactions with other drugs","oral anticoagulants, needs INR to monitor",,,,
9,thrombosis,dabigatran,direct acting oral anticoagulants (DOACs),direct inhibitor of thrombin,"excess bleeding, anaemia, GI tract issues, headache and dizziness",,"fewer drug and dietary interactions and increased predictability, no INR monitoring",,,,
9,thrombosis,rivaroxaban,direct acting oral anticoagulants (DOACs),inhibitor of Xa,"excess bleeding, anaemia, GI tract issues",kidney functions impairment,"lower liability for drug and dietary, no INR",,,,
9,ischaemic stroke ,alteplase,thrombolytic,increase active plasmin,"increase bleeding time, haemorrhage, ","haemorrhagic stroke, fatal outcomes","when PCI does not work, acute treatment, treat thromboembolism (short time winodw after it happens), must ensure a stroke patient has suffered from ischamic rather than haemorrhagic stroke",,,,
10,ventricular dysrhythmias in acute settings,lidocaine,class 1b,inactivated sodium voltage gated channels,"potential to cause dysrhythmias, exacerbate heart block","at high dose: CNS side effects, anxiety, dizziness, agitation, seizures, coma, respiratory depression","ideal for emergency use for rapid stabilization, used as local anaesthetics",,,,
10,supraventricular tachycardias,flecainide,class 1c,inactivated voltage gated sodiumchannels,"potential to cause dysrhythmias,, worsen heart block, dizziness, visual disturbancem fatigue",heart disease patients: dangerous ventricular tachycardias/ ventricular fibrillation,,,,,
10,dysrhythmias,amidarone,class 3,inactivated voltage gated potassium channels,"high iodine content, bradycardia and heart block, TDP","lung fibrosis, visual problems, liver toxicity, skin discoloration",,,,,
10,increase heart rate,atropine,unclassified antidysrhythmias drugs,"vagus nerve, M2 mAChRs","non selective mAChR antagonist that crosses BBB, constipation, blurred vision, dry mouth","confusion, delerium",,,,,
10,lower heart rate,adenosine,unclassified antidysrhythmias drugs,"AV node, KACh channel","bradycardia, flushing, chest pain, brochospasm, dyspnoea",,adenosine and theophylline (can affect treating dysrhythmias),,,,
11,Asthma,salbutamol,Short acting brochodilators (SABA),b2 adrenoceptor agonist,"muscle tremors, hypokalaemia, cramps, vasodilation, flushing and headaches","action at b1 recptors, tachycardia, palpitation, nervousness, anxiety when cross BBB",,,,,
11,Asthma,terbutaline,Short acting brochodilators (SABA),b2 adrenoceptor agonist,"muscle tremors, hypokalaemia, cramps, vasodilation, flushing and headaches","action at b1 recptors, tachycardia, palpitation, nervousness, anxiety when cross BBB",,,,,
11,Asthma,formoterol,Long acting brochodilators (LABA),b2 adrenoceptor agonist,"muscle tremors, hypokalaemia, cramps, vasodilation, flushing and headaches","action at b1 recptors, tachycardia, palpitation, nervousness, anxiety when cross BBB",,,,,
11,Asthma,salmeterol,Long acting brochodilators (LABA),b2 adrenoceptor agonist,"muscle tremors, hypokalaemia, cramps, vasodilation, flushing and headaches","action at b1 recptors, tachycardia, palpitation, nervousness, anxiety when cross BBB",,,,,
11,Asthma,montelukast,leukotriene receptor antagonist (LTRAs),leukotrienes,"abdominal pain, GI tract issues, headaches","depression, hallucinations",,,,,
11,Asthma,tiotropium,long acting muscarinic acetylcholine receptor antagonist (LAMA),block Ach from PS neurons,,,selective for M3 receptors in smooth muscles,,,,
11,Asthma,theophylline,alkylxanthine,inhibit phosphodiesterases (stop cAMP breakdown) + antagonist at adrenosine receptors,,"narrow therapeutic window ( x2 = toxic, x4 = fatal)","close to caffeine structure, reserve for not responding to other prescribed drugs",,,,
11,Asthma,hydrocortisone,glucocorticoids,glucocorticoids receptors,"greater GC effects, prolong stress, pituitary/adrenal tumors, yeast production (mouth concentrated), psychosis, depression",cushing disease,,,,,
11,Asthma,prednisolone,glucocorticoids,glucocorticoids receptors,"greater GC effects, prolong stress, pituitary/adrenal tumors, yeast production (mouth concentrated), psychosis, depression",cushing disease,,,,,
11,Asthma,dexamethasone,glucocorticoids,glucocorticoids receptors,"greater GC effects, prolong stress, pituitary/adrenal tumors, yeast production (mouth concentrated), psychosis, depression",cushing disease,,,,,
11,Asthma,aldosterone,mineralocorticoid,mineralocorticoid receptors,"greater GC effects, prolong stress, pituitary/adrenal tumors, yeast production (mouth concentrated), psychosis, depression",cushing disease,,,,,
11,Asthma,fludrocortisone,mineralocorticoid + glucocorticoids,mineralocorticoid receptors + glucocorticoids receptors,"greater GC effects, prolong stress, pituitary/adrenal tumors, yeast production (mouth concentrated), psychosis, depression",cushing disease,,,,,
